"GEOID","com","xYear","n","Year"
"0236400","Juneau","x1992",27543,1992
"0236400","Juneau","x2003",30880.2,2003
"0236400","Juneau","x2002",30823.8,2002
"0236400","Juneau","x1995",28731,1995
"0236400","Juneau","x2006",31049.4,2006
"0236400","Juneau","x2010",31275,2010
"0236400","Juneau","x2004",30936.6,2004
"0236400","Juneau","x1996",29127,1996
"0236400","Juneau","x2000",30711,2000
"0236400","Juneau","x1993",27939,1993
"0236400","Juneau","x2009",31218.6,2009
"0236400","Juneau","x2008",31162.2,2008
"0236400","Juneau","x2001",30767.4,2001
"0236400","Juneau","x1994",28335,1994
"0236400","Juneau","x1999",30315,1999
"0236400","Juneau","x1991",27147,1991
"0236400","Juneau","x1997",29523,1997
"0236400","Juneau","x2005",30993,2005
"0236400","Juneau","x1998",29919,1998
"0236770","Kake","x1995",705,1995
"0236770","Kake","x1992",702,1992
"0236770","Kake","x1996",706,1996
"0236770","Kake","x2007",602.9,2007
"0236770","Kake","x1999",709,1999
"0236770","Kake","x1991",701,1991
"0236770","Kake","x1990",700,1990
"0236770","Kake","x2008",587.6,2008
"0236770","Kake","x1993",703,1993
"0236770","Kake","x2010",557,2010
"0236770","Kake","x2009",572.3,2009
"0236770","Kake","x2002",679.4,2002
"0236770","Kake","x2004",648.8,2004
"0236770","Kake","x2006",618.2,2006
"0236770","Kake","x2001",694.7,2001
"0236770","Kake","x2003",664.1,2003
"0236770","Kake","x2005",633.5,2005
"0236770","Kake","x2000",710,2000
"0236770","Kake","x1997",707,1997
"0236770","Kake","x1994",704,1994
"0236770","Kake","x1998",708,1998
"0237650","Kasaan","x1992",51,1992
"0237650","Kasaan","x1995",46.5,1995
"0237650","Kasaan","x1993",49.5,1993
"0237650","Kasaan","x1996",45,1996
"0237650","Kasaan","x2002",41,2002
"0237650","Kasaan","x1994",48,1994
"0237650","Kasaan","x1999",40.5,1999
"0237650","Kasaan","x1990",54,1990
"0237650","Kasaan","x2003",42,2003
"0237650","Kasaan","x2009",48,2009
"0237650","Kasaan","x2000",39,2000
"0237650","Kasaan","x1991",52.5,1991
"0237650","Kasaan","x1997",43.5,1997
"0237650","Kasaan","x2010",49,2010
"0237650","Kasaan","x2001",40,2001
"0237650","Kasaan","x2006",45,2006
"0237650","Kasaan","x1998",42,1998
"0237650","Kasaan","x2004",43,2004
"0237650","Kasaan","x2007",46,2007
"0237650","Kasaan","x2005",44,2005
"0237650","Kasaan","x2008",47,2008
"0238970","Ketchikan","x2002",7947.6,2002
"0238970","Ketchikan","x2006",7998.8,2006
"0238970","Ketchikan","x2003",7960.4,2003
"0238970","Ketchikan","x2000",7922,2000
"0238970","Ketchikan","x1995",8092.5,1995
"0238970","Ketchikan","x1997",8024.3,1997
"0238970","Ketchikan","x1999",7956.1,1999
"0238970","Ketchikan","x1994",8126.6,1994
"0238970","Ketchikan","x1996",8058.4,1996
"0238970","Ketchikan","x1998",7990.2,1998
"0238970","Ketchikan","x1991",8228.9,1991
"0238970","Ketchikan","x1990",8263,1990
"0238970","Ketchikan","x2007",8011.6,2007
"0238970","Ketchikan","x1992",8194.8,1992
"0238970","Ketchikan","x2010",8050,2010
"0238970","Ketchikan","x2009",8037.2,2009
"0238970","Ketchikan","x2001",7934.8,2001
"0238970","Ketchikan","x1993",8160.7,1993
"0238970","Ketchikan","x2004",7973.2,2004
"0238970","Ketchikan","x2008",8024.4,2008
"0238970","Ketchikan","x2005",7986,2005
"0240400","Klawock","x2002",834.2,2002
"0240400","Klawock","x1995",788,1995
"0240400","Klawock","x2003",824.3,2003
"0240400","Klawock","x2009",764.9,2009
"0240400","Klawock","x2001",844.1,2001
"0240400","Klawock","x2006",794.6,2006
"0240400","Klawock","x1999",840.8,1999
"0240400","Klawock","x1992",748.4,1992
"0240400","Klawock","x1991",735.2,1991
"0240400","Klawock","x2007",784.7,2007
"0240400","Klawock","x2000",854,2000
"0240400","Klawock","x2004",814.4,2004
"0240400","Klawock","x1996",801.2,1996
"0240400","Klawock","x1990",722,1990
"0240400","Klawock","x1994",774.8,1994
"0240400","Klawock","x2005",804.5,2005
"0240400","Klawock","x1998",827.6,1998
"0240400","Klawock","x1997",814.4,1997
"0240400","Klawock","x2008",774.8,2008
"0240400","Klawock","x2010",755,2010
"0240400","Klawock","x1993",761.6,1993
