"Var1","Var2","value"
"S23","Klawock",6.28579925147195e-06
"S16","Klawock",2.25787838113086e-05
"S24","Klawock",5.40425735382433e-06
"S21","Klawock",9.00684311475959e-06
"S18","Klawock",7.81246452153912e-06
"S19","Klawock",1.59816976256843e-05
"S09","Klawock",8.96229967472783e-06
"S10","Kake",9.9831818581436e-06
"N07","Kake",6.4845194533813e-06
"N09","Kake",9.86779446696382e-06
"GBYA","Kake",3.70959202553156e-06
"N02","Kake",5.70125129710986e-06
"N01","Kake",3.60706848765132e-06
"N03","Kake",7.27939342402824e-06
"N04","Kake",8.48577581695826e-06
"N05","Kake",9.51254664099441e-06
"N06","Kake",1.19971594348917e-05
"N10","Kake",1.37435444778007e-05
"N11","Kake",3.09151090683184e-05
"N08","Kake",5.52268037289241e-06
"S05","Kake",3.88286419100374e-06
"S04","Kake",4.87728581089416e-06
"S06","Kake",4.0526719182681e-06
"S03","Kake",5.60604795944785e-06
"S02","Kake",6.47384642848478e-06
"S01","Kake",9.91514355127449e-06
"S07","Kake",1.74517665103596e-05
"S08","Kake",5.88559305684296e-05
"S12","Kake",1.27440496915754e-05
"S11","Kake",1.21984574076881e-05
"S15","Kake",3.9939126414496e-06
"S14","Kake",3.59581708196889e-06
"YAK","Kake",2.14850631264302e-06
"GBYC","Kake",5.02970878413623e-06
"GBYB","Kake",4.18327699396471e-06
"S13","Kake",3.7960813725413e-06
"S20","Kake",8.59684735616564e-06
"S17","Kake",5.05898554177476e-06
"N15","Kake",8.67271499834207e-06
"S22","Kake",9.90180500620076e-06
"N20","Kake",7.21695348175186e-06
"N14","Kake",7.93696239420384e-06
"N16","Kake",6.77142002592513e-06
"N23","Kake",1.66985697795067e-05
"N22","Kake",8.46738674075249e-06
"N13","Kake",1.1339687340314e-05
"N18","Kake",9.46839510259936e-06
"N27","Kake",3.84880650668492e-06
"N21","Kake",6.22544690915825e-06
"N26","Kake",5.04053048941212e-06
"N25","Kake",5.32639402745972e-06
"N24","Kake",6.09137352502691e-06
"N17","Kake",1.18920906937082e-05
"N12","Kake",1.81942043807605e-05
"N19","Kake",1.99390165472243e-05
"S23","Kake",1.8908435836988e-05
"S16","Kake",5.25842752983041e-06
"S24","Kake",3.04939999985131e-06
"S21","Kake",6.30873296522242e-06
"S18","Kake",4.8023977506469e-06
"S19","Kake",7.51349986676127e-06
"S09","Kake",1.74889318963685e-05
"S10","Juneau",3.98501376680039e-06
"N07","Juneau",1.31558697068997e-05
"N09","Juneau",9.39551177758021e-06
"GBYA","Juneau",6.70617929278203e-06
"N02","Juneau",8.74336507778747e-06
"N01","Juneau",5.41864159650364e-06
"N03","Juneau",7.53895804257395e-06
"N04","Juneau",6.0933970552737e-06
"N05","Juneau",6.12529781356321e-06
"N06","Juneau",5.12621619999083e-06
"N10","Juneau",8.66101356002161e-06
"N11","Juneau",7.14293917023326e-06
"N08","Juneau",1.53206824108863e-05
"S05","Juneau",2.46184046277641e-06
"S04","Juneau",2.81065168090454e-06
"S06","Juneau",2.518993063584e-06
"S03","Juneau",3.03827080724311e-06
"S02","Juneau",3.27653386495072e-06
"S01","Juneau",3.99884058220513e-06
"S07","Juneau",4.92269295950352e-06
"S08","Juneau",5.96294824200386e-06
"S12","Juneau",4.39627664770011e-06
"S11","Juneau",4.51165317900627e-06
"S15","Juneau",2.51947898850631e-06
"S14","Juneau",2.37376461993465e-06
"YAK","Juneau",2.78427547861665e-06
"GBYC","Juneau",1.10259362219022e-05
"GBYB","Juneau",8.75704758991161e-06
"S13","Juneau",2.43993171708011e-06
"S20","Juneau",3.79182595252348e-06
"S17","Juneau",2.96528762394755e-06
"N15","Juneau",1.29918626942243e-05
"S22","Juneau",4.33249308881718e-06
"N20","Juneau",7.95083391909293e-05
"N14","Juneau",1.61780498359459e-05
"N16","Juneau",1.83360105210628e-05
"N23","Juneau",9.99023090118409e-06
"N22","Juneau",2.17280854341397e-05
"N13","Juneau",1.59055621884608e-05
