"Var1","Var2","value"
"S08","Hydaburg",5.21827940631596e-06
"S12","Hydaburg",7.64517081178054e-06
"S11","Hydaburg",7.05567983140318e-06
"S15","Hydaburg",1.88733595198453e-05
"S14","Hydaburg",1.11280216595164e-05
"YAK","Hydaburg",1.52529584688918e-06
"GBYC","Hydaburg",2.48054893611703e-06
"GBYB","Hydaburg",2.24821487852067e-06
"S13","Hydaburg",1.55436297285352e-05
"S20","Hydaburg",1.04526669885045e-05
"S17","Hydaburg",1.37801592792185e-05
"N15","Hydaburg",3.13540839986086e-06
"S22","Hydaburg",6.9046674496912e-06
"N20","Hydaburg",2.8871667955767e-06
"N14","Hydaburg",3.01189612118325e-06
"N16","Hydaburg",2.82180719020995e-06
"N23","Hydaburg",3.75144791526468e-06
"N22","Hydaburg",3.06362522546421e-06
"N13","Hydaburg",3.38513734256562e-06
"N18","Hydaburg",3.19685361444949e-06
"N27","Hydaburg",2.13490481751789e-06
"N21","Hydaburg",2.71104841633284e-06
"N26","Hydaburg",2.45781073077151e-06
"N25","Hydaburg",2.52363499869673e-06
"N24","Hydaburg",2.68334990267641e-06
"N17","Hydaburg",3.5907987909915e-06
"N12","Hydaburg",3.81047644855524e-06
"N19","Hydaburg",4.22555624296949e-06
"S23","Hydaburg",5.05238040814924e-06
"S16","Hydaburg",2.35331671131287e-05
"S24","Hydaburg",6.50124879321865e-06
"S21","Hydaburg",7.67140889837533e-06
"S18","Hydaburg",7.60154521965932e-06
"S19","Hydaburg",1.06697992162362e-05
"S09","Hydaburg",6.52244559045335e-06
"S10","Kasaan",1.01614487103977e-05
"N07","Kasaan",2.9427839259389e-06
"N09","Kasaan",3.54628087167559e-06
"GBYA","Kasaan",2.19499304797819e-06
"N02","Kasaan",2.80402345207974e-06
"N01","Kasaan",2.18164873369856e-06
"N03","Kasaan",3.22499939773975e-06
"N04","Kasaan",3.65689719739285e-06
"N05","Kasaan",3.84776324553869e-06
"N06","Kasaan",4.8585826345959e-06
"N10","Kasaan",3.94745011334176e-06
"N11","Kasaan",4.74069617781902e-06
"N08","Kasaan",2.72086924670365e-06
"S05","Kasaan",1.27825692958137e-05
"S04","Kasaan",1.45738396124902e-05
"S06","Kasaan",1.23498178328505e-05
"S03","Kasaan",1.61615249093664e-05
"S02","Kasaan",1.35562285955608e-05
"S01","Kasaan",8.56229238751345e-06
"S07","Kasaan",6.46189239883571e-06
"S08","Kasaan",5.87756546363413e-06
"S12","Kasaan",9.2050117826207e-06
"S11","Kasaan",9.05618571898359e-06
"S15","Kasaan",1.53371023412878e-05
"S14","Kasaan",1.08717140027366e-05
"YAK","Kasaan",1.54868363136898e-06
"GBYC","Kasaan",2.59800294735998e-06
"GBYB","Kasaan",2.35028869752532e-06
"S13","Kasaan",1.28115168398102e-05
"S20","Kasaan",1.42083378089804e-05
"S17","Kasaan",3.18322568816267e-05
"N15","Kasaan",3.32432934496365e-06
"S22","Kasaan",9.30801479776705e-06
"N20","Kasaan",3.12060543872711e-06
"N14","Kasaan",3.20156407815668e-06
"N16","Kasaan",2.99276331242957e-06
"N23","Kasaan",4.06198490228714e-06
"N22","Kasaan",3.28874330053163e-06
"N13","Kasaan",3.70928236285325e-06
"N18","Kasaan",3.48839851823536e-06
"N27","Kasaan",2.25206416170721e-06
"N21","Kasaan",2.88571893668424e-06
"N26","Kasaan",2.60627495920413e-06
"N25","Kasaan",2.69185415298566e-06
"N24","Kasaan",2.86111805270972e-06
"N17","Kasaan",4.03436469691666e-06
"N12","Kasaan",4.20956792466597e-06
"N19","Kasaan",4.83790642720566e-06
"S23","Kasaan",6.02216047142011e-06
"S16","Kasaan",0.00024242173353128
"S24","Kasaan",6.77316760556855e-06
"S21","Kasaan",1.17391363527307e-05
"S18","Kasaan",1.1271245174228e-05
"S19","Kasaan",1.74478176373858e-05
"S09","Kasaan",7.33260095956097e-06
"S10","Naukati Bay",2.85230478494588e-05
"N07","Naukati Bay",3.56130191679914e-06
"N09","Naukati Bay",4.52146002886782e-06
"GBYA","Naukati Bay",2.52141490881523e-06
"N02","Naukati Bay",3.3861792558282e-06
"N01","Naukati Bay",2.5214047627194e-06
"N03","Naukati Bay",4.04080551105687e-06
"N04","Naukati Bay",4.76306115726357e-06
"N05","Naukati Bay",5.09056014616114e-06
"N06","Naukati Bay",7.0334435156824e-06
"N10","Naukati Bay",5.18261175567557e-06
"N11","Naukati Bay",6.60326945911436e-06
"N08","Naukati Bay",3.22189745531519e-06
"S05","Naukati Bay",7.86185898737848e-06
"S04","Naukati Bay",1.28207124150099e-05
"S06","Naukati Bay",8.57952466730499e-06
"S03","Naukati Bay",1.90789254036465e-05
"S02","Naukati Bay",2.71485616486913e-05
"S01","Naukati Bay",1.8628203848944e-05
"S07","Naukati Bay",1.08681829130315e-05
"S08","Naukati Bay",8.79532110334662e-06
"S12","Naukati Bay",1.88275762516334e-05
"S11","Naukati Bay",1.43609689345042e-05
"S15","Naukati Bay",8.17912314500507e-06
"S14","Naukati Bay",6.49907184628835e-06
"YAK","Naukati Bay",1.71416253175551e-06
"GBYC","Naukati Bay",3.06478398739609e-06
"GBYB","Naukati Bay",2.71999358877679e-06
"S13","Naukati Bay",7.39538504741882e-06
"S20","Naukati Bay",4.16355067464598e-05
"S17","Naukati Bay",1.14635121305081e-05
"N15","Naukati Bay",4.13244295053566e-06
"S22","Naukati Bay",1.22478904647653e-05
"N20","Naukati Bay",3.72429456616333e-06
"N14","Naukati Bay",3.9271821829153e-06
"N16","Naukati Bay",3.6114945897135e-06
"N23","Naukati Bay",5.29357480954512e-06
"N22","Naukati Bay",4.0234598992629e-06
"N13","Naukati Bay",4.59561410991765e-06
"N18","Naukati Bay",4.25493559571629e-06
"N27","Naukati Bay",2.56111377402953e-06
"N21","Naukati Bay",3.43615005374323e-06
"N26","Naukati Bay",3.03984702556018e-06
"N25","Naukati Bay",3.14165785738296e-06
"N24","Naukati Bay",3.39264528887497e-06
"N17","Naukati Bay",4.9417463966566e-06
"N12","Naukati Bay",5.41840532581527e-06
"N19","Naukati Bay",6.23004462151254e-06
"S23","Naukati Bay",8.07946084279626e-06
"S16","Naukati Bay",1.50643120432077e-05
"S24","Naukati Bay",4.73320332236695e-06
"S21","Naukati Bay",1.0156676603398e-05
"S18","Naukati Bay",7.74655026856001e-06
"S19","Naukati Bay",2.31242480846769e-05
"S09","Naukati Bay",1.31524059379478e-05
"S10","Coffman Cove",2.00618014642149e-05
"N07","Coffman Cove",3.55909842670969e-06
"N09","Coffman Cove",4.46126365105947e-06
"GBYA","Coffman Cove",2.52126046393108e-06
"N02","Coffman Cove",3.34476772003514e-06
"N01","Coffman Cove",2.49405687352453e-06
"N03","Coffman Cove",3.93604915180639e-06
"N04","Coffman Cove",4.54076936044051e-06
"N05","Coffman Cove",4.84404340653009e-06
"N06","Coffman Cove",6.44044836698501e-06
"N10","Coffman Cove",5.1200744585005e-06
"N11","Coffman Cove",6.55102455630198e-06
"N08","Coffman Cove",3.24390892932689e-06
"S05","Coffman Cove",7.45970979970204e-06
"S04","Coffman Cove",1.02717884997668e-05
"S06","Coffman Cove",7.74122751380243e-06
"S03","Coffman Cove",1.33965907458682e-05
"S02","Coffman Cove",1.5534063843169e-05
"S01","Coffman Cove",1.36524494161698e-05
"S07","Coffman Cove",9.93741516468176e-06
"S08","Coffman Cove",9.00217350708118e-06
"S12","Coffman Cove",1.98866769152923e-05
"S11","Coffman Cove",1.8976504451214e-05
"S15","Coffman Cove",8.06061903626895e-06
"S14","Coffman Cove",6.62816051265097e-06
"YAK","Coffman Cove",1.69847769308364e-06
"GBYC","Coffman Cove",3.06835716406515e-06
"GBYB","Coffman Cove",2.73009308212621e-06
"S13","Coffman Cove",7.29692291830078e-06
"S20","Coffman Cove",7.43746326294676e-05
"S17","Coffman Cove",1.36438233486125e-05
"N15","Coffman Cove",4.13285189722173e-06
"S22","Coffman Cove",1.74290477245051e-05
"N20","Coffman Cove",3.82545544265481e-06
"N14","Coffman Cove",3.94931984548073e-06
"N16","Coffman Cove",3.63756973300244e-06
"N23","Coffman Cove",5.34604904331634e-06
"N22","Coffman Cove",4.08622421060902e-06
"N13","Coffman Cove",4.75107408219711e-06
"N18","Coffman Cove",4.39312628247023e-06
"N27","Coffman Cove",2.59850670852999e-06
"N21","Coffman Cove",3.4820295068237e-06
"N26","Coffman Cove",3.08290717792928e-06
"N25","Coffman Cove",3.20198500372257e-06
"N24","Coffman Cove",3.44608180176983e-06
"N17","Coffman Cove",5.25473129808729e-06
"N12","Coffman Cove",5.60911876597513e-06
"N19","Coffman Cove",6.72469464487116e-06
"S23","Coffman Cove",9.17398447304828e-06
"S16","Coffman Cove",1.5833078688951e-05
"S24","Coffman Cove",4.92868553995202e-06
"S21","Coffman Cove",1.42139265386132e-05
"S18","Coffman Cove",9.50918309071583e-06
"S19","Coffman Cove",6.58134037348975e-05
"S09","Coffman Cove",1.25508855779268e-05
"S10","Yakutat",1.89576834728752e-06
"N07","Yakutat",3.43395921977319e-06
"N09","Yakutat",2.91423828391378e-06
"GBYA","Yakutat",5.38690811944713e-06
"N02","Yakutat",3.72718798651114e-06
"N01","Yakutat",6.0150525443493e-06
"N03","Yakutat",3.17232114041067e-06
"N04","Yakutat",2.80213543108715e-06
"N05","Yakutat",2.70816393093893e-06
"N06","Yakutat",2.34788273471444e-06
"N10","Yakutat",2.68763263878965e-06
"N11","Yakutat",2.41042487284011e-06
"N08","Yakutat",3.64214852449379e-06
"S05","Yakutat",1.4583113278743e-06
"S04","Yakutat",1.60889220190605e-06
"S06","Yakutat",1.49804455940153e-06
"S03","Yakutat",1.67362254269611e-06
"S02","Yakutat",1.74833590495992e-06
"S01","Yakutat",1.94507753914502e-06
"S07","Yakutat",2.12563607415662e-06
"S08","Yakutat",2.18455457059672e-06
"S12","Yakutat",1.93457513102526e-06
"S11","Yakutat",1.90419634477748e-06
"S15","Yakutat",1.46130838477085e-06
"S14","Yakutat",1.39642047524456e-06
"YAK","Yakutat",4.01666292154892e-05
"GBYC","Yakutat",3.98427337743694e-06
"GBYB","Yakutat",4.53380363203872e-06
"S13","Yakutat",1.43447673698825e-06
"S20","Yakutat",1.80247358475741e-06
"S17","Yakutat",1.5631540772239e-06
"N15","Yakutat",3.04001685122668e-06
"S22","Yakutat",1.843103138202e-06
"N20","Yakutat",2.94002849620427e-06
"N14","Yakutat",3.10854999321943e-06
"N16","Yakutat",3.2930176287868e-06
"N23","Yakutat",2.59994114086291e-06
"N22","Yakutat",2.96365597670914e-06
"N13","Yakutat",2.63486270354724e-06
"N18","Yakutat",2.72252958835777e-06
"N27","Yakutat",4.07865640556908e-06
"N21","Yakutat",3.31896849986552e-06
"N26","Yakutat",3.61753873924486e-06
"N25","Yakutat",3.38244767474145e-06
"N24","Yakutat",3.30133092405345e-06
"N17","Yakutat",2.39150014155251e-06
"N12","Yakutat",2.48093687857616e-06
"N19","Yakutat",2.24570592961955e-06
"S23","Yakutat",2.0706696173612e-06
"S16","Yakutat",1.59298365208037e-06
"S24","Yakutat",1.2987401625443e-06
"S21","Yakutat",1.66791106794245e-06
"S18","Yakutat",1.53936685649041e-06
"S19","Yakutat",1.73866807254521e-06
"S09","Yakutat",2.04853163655523e-06
