"Lam","br1","br2","wr1","wr2","fs1","fs2","ms1","ms2","Gf","Gm"
0.95,0,0.98,0,0.5,0.75,0.85,0.73,0.83,0.257737285534505,0.24974019284694
1.22,0,0.98,0,0.95,0.97,0.99,0.96,0.98,0.26018915176264,0.257092283210186
1.18,0,0.98,0,0.882136880271568,0.924115282313506,0.974949614848201,0.926799386478866,0.950444279677129,0.256366477972186,0.257230032699704
1.04,0,0.98,0,0.574639889652234,0.813013461268614,0.914122649099672,0.789411210576473,0.87808648604903,0.256007441539873,0.247328563259667
1.17,0,0.98,0,0.891125899996939,0.929954285243404,0.956893319050149,0.917669432980396,0.95741997568066,0.260898949703309,0.256922735930847
1.1,0,0.98,0,0.669995011048019,0.900231985912007,0.929863534023564,0.860666974693812,0.913736502220179,0.269716268427063,0.256173211217367
1.03,0,0.98,0,0.617795706794736,0.81387829418327,0.893745394149923,0.808775457519085,0.873222986473415,0.259167932183066,0.257289872140633
0.98,0,0.98,0,0.560518400301513,0.775136500166791,0.866379242815862,0.772149476847441,0.851953038074151,0.25795951473636,0.256808562912514
1.16,0,0.98,0,0.841043714327922,0.928527296266512,0.955901951627505,0.89793386596185,0.944547504597604,0.262817859707099,0.252822680603311
1.12,0,0.98,0,0.791023514640385,0.904744914980831,0.934498060164141,0.849614705643265,0.912343677997817,0.264256028520576,0.245613100639609
0.99,0,0.98,0,0.612396440007544,0.77482505025804,0.870899481643042,0.758714110134257,0.846819322310689,0.254394517646035,0.248208978353953
0.99,0,0.98,0,0.560660344395509,0.798147373237464,0.865795574775869,0.772013286125425,0.855842060438751,0.264531127079954,0.254564972702448
1.1,0,0.98,0,0.772167302300902,0.8696420317095,0.929042025001841,0.84594362542551,0.899000403945616,0.258239647210598,0.250058040743212
1.09,0,0.98,0,0.810916796921423,0.847843194853096,0.920537891436007,0.861431201883297,0.929585320876791,0.253416249322063,0.258140402844376
0.99,0,0.98,0,0.551865453478845,0.781749693412468,0.876080538710615,0.763502780560785,0.863001154290546,0.257781470703998,0.250785600271215
1.1,0,0.98,0,0.791956521456213,0.862504403623508,0.920737024379514,0.861882179215182,0.904495783641898,0.257579335291618,0.257364167151598
1,0,0.98,0,0.569855951374056,0.792536845080688,0.874372179658504,0.751287447493903,0.856381494395181,0.260379261488661,0.244608056745638
1.06,0,0.98,0,0.690390052167084,0.850612851069475,0.900616959753119,0.856669939088466,0.901284505203321,0.263605001767455,0.265750480808114
1.01,0,0.98,0,0.588532775177485,0.794057437199121,0.880769216528569,0.751793227076141,0.848782246247309,0.258336002342125,0.242272325868135
1.06,0,0.98,0,0.681858270321487,0.843820662445496,0.90709483958743,0.839082671220162,0.899190869059405,0.260813576675076,0.259126416053418
0.98,0,0.98,0,0.545872331891737,0.770791470041803,0.868859596016222,0.750056609330542,0.847499872753068,0.25676924954062,0.248717667638076
1.15,0,0.98,0,0.858387592989015,0.913687492403116,0.95039524054399,0.905553691729042,0.957553131726383,0.260077098145018,0.257404279377623
1.01,0,0.98,0,0.654561700985843,0.794343468137987,0.87518035459246,0.764956773457492,0.857404168713833,0.256825949565768,0.245730283814883
1.09,0,0.98,0,0.713028169525849,0.887570010173128,0.917680670417069,0.837839069823744,0.889758737538702,0.267500148488671,0.250264219873327
0.98,0,0.98,0,0.535130459475535,0.786663265675814,0.862494527657437,0.756074806847259,0.847624003783179,0.263436557762353,0.25161207389734
0.98,0,0.98,0,0.535160041452887,0.766762070528137,0.86823883035191,0.760321507882504,0.838787866471461,0.256263475540822,0.253761049120471
1.12,0,0.98,0,0.801779057747,0.889948163187978,0.938720933526132,0.861059930264734,0.923939147544599,0.259589906694793,0.249807247542232
1.09,0,0.98,0,0.750897336379499,0.858591498728157,0.927969489742841,0.859325013974708,0.89090912802576,0.256744587748363,0.25699888891305
1.08,0,0.98,0,0.706150199698834,0.850280812293938,0.923040786642572,0.852930201846428,0.927946656534719,0.257712384341398,0.258641256167191
1.19,0,0.98,0,0.892897818673705,0.947803210362752,0.976711486629333,0.93673989328048,0.95681645423206,0.260539679408098,0.257029867948541
1.12,0,0.98,0,0.762586501049224,0.912587447838002,0.931107276776232,0.850466693541076,0.911821131978337,0.267968392345482,0.246957427533227
1.2,0,0.98,0,0.903249042080885,0.950281010057661,0.978483358967449,0.948164153379413,0.970365190946716,0.260289312988063,0.25962111983553
1.05,0,0.98,0,0.645745767783017,0.819940592799108,0.918465799242167,0.838370981502427,0.886816132181655,0.253685393361818,0.260306338070205
1.03,0,0.98,0,0.648281662342352,0.815973360182479,0.894787497388803,0.836516271987071,0.915628252227206,0.258101762736516,0.265578847518483
1.05,0,0.98,0,0.677308630963976,0.82789257547706,0.904370391259362,0.814128575822797,0.90252996238387,0.257644908515067,0.252669876750601
1.19,0,0.98,0,0.886202617253264,0.947687780129554,0.969790691357102,0.937752595490651,0.961197754601371,0.262165639750067,0.259004027367178
1,0,0.98,0,0.540311834439776,0.792303422762343,0.884482246602572,0.769165209117376,0.84657064272093,0.259182902408252,0.250394692161636
1.09,0,0.98,0,0.758014058830076,0.850571470003615,0.923202731085652,0.842205497198132,0.901500908581768,0.255586437877218,0.252659433392614
1.12,0,0.98,0,0.752774756482455,0.902317489258487,0.932818156619056,0.862912642325617,0.920449623729999,0.265737495925405,0.252383927273328
1.14,0,0.98,0,0.85264500489236,0.888111548427834,0.952571047564536,0.904775929141061,0.928556237262134,0.2542404841533,0.259777794401337
1.12,0,0.98,0,0.73965958606407,0.912218219230303,0.932130188335065,0.867457395720098,0.929858226386164,0.268696057133171,0.253588817774547
0.98,0,0.98,0,0.55280714243147,0.779114735965531,0.860567884807624,0.747517179575325,0.845018884250959,0.260935041514198,0.248659710080717
1.11,0,0.98,0,0.733025352746593,0.885473393525538,0.936027771430966,0.884461072384343,0.93438431987371,0.262050298814914,0.261706266217897
1.11,0,0.98,0,0.734494688825286,0.900376807130356,0.930130489831954,0.885067153446241,0.907488253904229,0.266700960154913,0.261521085253187
1.15,0,0.98,0,0.83428662157429,0.919423294971851,0.949731131664791,0.905985358276546,0.954844133296076,0.262427639102641,0.258013881194649
1.1,0,0.98,0,0.757086368617512,0.870557478435627,0.929491949405109,0.859350443008102,0.921451569012976,0.258981641765524,0.255121821067951
1.06,0,0.98,0,0.658966606521086,0.841775878157161,0.915590150331014,0.830753448983378,0.899129266679777,0.25935614523631,0.255426984392153
1.02,0,0.98,0,0.590209672796853,0.818086660690589,0.882588892791481,0.762487018300211,0.855030026164998,0.264283888615547,0.243460414342878
1.1,0,0.98,0,0.743459662673843,0.888008240397725,0.924096692493384,0.87815073324324,0.909695125741287,0.264805555601034,0.2614403036759
1.04,0,0.98,0,0.681306476258325,0.819187197130456,0.899888489495187,0.827433187211048,0.887288481080664,0.256295438347179,0.259283515627652
1.03,0,0.98,0,0.657499442333658,0.795243486601757,0.901807809724757,0.83537847404007,0.88057521496898,0.2505784079263,0.265268925879808
0.96,0,0.98,0,0.526064921000864,0.758072551603801,0.855303699962583,0.755217318320434,0.840730520127434,0.257496626827275,0.256372757273101
1.03,0,0.98,0,0.656270502444634,0.819451644913649,0.882136520887412,0.794649121040602,0.873251911941274,0.261664297624046,0.252508471333314
1.18,0,0.98,0,0.86885829883501,0.940548894507704,0.967960496963319,0.929670703065689,0.954996526019926,0.261752186414416,0.25826625102513
1.12,0,0.98,0,0.780571652671294,0.866356561488178,0.947347933210787,0.888184931454437,0.925994268328494,0.253168571202082,0.260578302953794
1.07,0,0.98,0,0.703634434959324,0.835764618603682,0.923715693022027,0.851793900329208,0.905267351530641,0.254079008404055,0.259736569647727
1.03,0,0.98,0,0.601433515138641,0.836850796400516,0.887652388987063,0.777529039761871,0.901439570469537,0.267402499951409,0.245534280389093
0.99,0,0.98,0,0.564020922068782,0.76896484822002,0.875719224832409,0.769462098286246,0.856136775082922,0.253680512654674,0.253871803119102
1.17,0,0.98,0,0.83385515768912,0.93776825046729,0.968025499928061,0.916871881123536,0.934099681045523,0.262579570673067,0.255837675975974
1.07,0,0.98,0,0.69180312678479,0.833141652320905,0.922079716593286,0.83709599606169,0.88802142047662,0.254284899283364,0.255689568467844
0.99,0,0.98,0,0.581948092851835,0.786628195384657,0.867427246901863,0.77063162211012,0.859427704673096,0.259918111636243,0.253800279346914
1.09,0,0.98,0,0.72965961454997,0.873589970039977,0.922214308746224,0.810085385180924,0.921153052598322,0.262475399050485,0.240264104449622
1,0,0.98,0,0.596082460544931,0.791515000774756,0.873687001241224,0.775179367326293,0.848698382215771,0.259045880494601,0.252847460611808
1.17,0,0.98,0,0.903036375955209,0.922846447123895,0.964868172821535,0.933621235757853,0.968652914227487,0.257328111801609,0.260800005730097
1,0,0.98,0,0.564957979144131,0.806054388434658,0.875599782269887,0.787259587980161,0.859304941460116,0.264012794845334,0.256936759513859
0.98,0,0.98,0,0.533834027611164,0.783897275376339,0.869304405523233,0.750746266797924,0.843941117399146,0.260970195014787,0.248164632678976
0.97,0,0.98,0,0.532395762627369,0.761703881496574,0.856234313690417,0.739144817692811,0.838136254705569,0.258019439952324,0.249127431511339
1.18,0,0.98,0,0.868617791475171,0.929524558296239,0.973672292986599,0.934195268517234,0.960331633458053,0.258293257668612,0.259792351052833
1.08,0,0.98,0,0.662541420299899,0.875610428148265,0.919802273490203,0.845948665778048,0.887785414644574,0.266535671695915,0.256182327441796
1.06,0,0.98,0,0.689126369583416,0.838108660916974,0.905247428080406,0.81950359442854,0.878945134607953,0.259499038340438,0.252823793963646
1.1,0,0.98,0,0.769444776394271,0.869971477472734,0.931370547860537,0.862847913974123,0.916626535477806,0.257920236109245,0.25547268461433
1.13,0,0.98,0,0.825969799727454,0.874242173183406,0.948482484562872,0.89478525553624,0.926649210587992,0.252986057866776,0.259896348083199
1,0,0.98,0,0.588309531243266,0.782694056973456,0.877973414654067,0.781587673294249,0.853470651927422,0.255900776387426,0.255480541109218
1,0,0.98,0,0.551448977802788,0.796044299485754,0.874180888557003,0.798821869996966,0.851068930510522,0.26228038076338,0.263329816266901
1.13,0,0.98,0,0.839048518970995,0.90870034754641,0.924725287264281,0.874942996276464,0.919890541243022,0.265185485683301,0.253853617988626
1.11,0,0.98,0,0.836774830496496,0.881580547959875,0.915659164758792,0.853514152601147,0.884356570375406,0.261236810808513,0.251611486349509
